,code_commune,nom_commune,nombre_de_logements,conso_total_mwh,conso_moyenne_mwh,log_moyenne,log_total,score_moyenne_conso,score_total_conso
5252,69087,,1575,4630.3189999999995,2.9398850793650793,1.37115155521062,8.440596987718836,47.85913103417654,47.972124521708174
5253,69088,,16049,37674.362,2.3474585332419466,1.2082014111254198,10.53676163194223,41.95849601059952,60.7417891140731
5254,69089,,20980,59388.312,2.8307107721639655,1.3430503661741484,10.99186955650098,46.841550711289166,63.51426958976383
5255,69090,,10,49.702,4.9702,1.7867804276808912,3.9259653575508517,62.90958892407941,20.46935567470968
5256,69091,,27387,57511.204,2.099945375543141,1.1313844905433175,10.959752447743242,39.17685617508583,63.31861477436417
5257,69092,,7841,20557.452,2.6217895676571867,1.2869682593905591,9.931027424905736,44.810745244126096,57.051705571592635
5258,69094,,5038,17426.067,3.4589255657006746,1.4949078324583918,9.765779851262192,52.340505555293234,56.04503078774618
5259,69096,,10582,27606.655,2.6088315063315064,1.2833840374916698,10.225848368321897,44.68095594330904,58.84773078965168
5260,69100,,8806,30241.314,3.4341714739950033,1.4893407829756764,10.316997348529895,52.13891550859453,59.4030029665772
5261,69105,,158,179.934,1.1388227848101267,0.760255577116922,5.198132323884195,25.7377992345724,28.219293405188782
5262,69106,,98,422.34000000000003,4.309591836734694,1.6695149653944814,6.048175638692024,58.66325518987079,33.397688169641846
5263,69108,,84,370.595,4.411845238095238,1.688590113834485,5.91780455152085,59.3539909335972,32.603478105892464
5264,69109,,30,41.966,1.3988666666666667,0.8749964035996508,3.7604091052528577,29.892712647991438,19.460800445596185
5265,69110,,10,101.408,10.1408,2.4106140452061453,4.628964834553808,85.49940934503964,24.751971334063867
5266,69111,,11,115.737,10.521545454545453,2.4442188003103005,4.75992354131284,86.71628089823464,25.549761128568427
5267,69112,,4298,10273.535,2.3903059562587248,1.2209201699035341,9.237423782865923,42.41905868100335,52.826328574943304
5268,69113,,38,143.59,3.778684210526316,1.5641652388453198,4.9739021510400345,54.84840562536093,26.8533014223554
5269,69115,,3438,8465.64,2.462373472949389,1.241954328737298,9.04388901472726,43.18073271942025,51.64733050200927
5270,69116,,2681,6591.646,2.458651995524058,1.2408789164877856,8.793710064360674,43.1417906539199,50.12326067617037
5271,69117,,1158,3372.1440000000002,2.912041450777202,1.3640593479183791,8.123600526115984,47.60231305480008,46.04100784974722
5272,69118,,461,1502.847,3.2599718004338394,1.4492625406428996,7.315781770611664,50.68763062805745,41.11984166767299
5273,69121,,2856,6203.349,2.1720409663865548,1.1543752186912701,8.73300577674389,40.00938011355143,49.75345509132711
5274,69122,,464,2160.682,4.65664224137931,1.7328304726039374,7.67864190134949,60.9559914220052,43.330356083242876
5275,69123,,1669231,4625179.762,2.770844635643599,1.327299017651193,15.347026011840592,46.271174052312276,90.0455286371962
5276,69125,,112,177.968,1.589,0.9512717007694006,5.187207018909604,32.654739600715374,28.152737335521593
5277,69126,,35,277.227,7.9207714285714275,2.1883824258761795,5.6284373272602854,77.45211559316051,30.840676501536596
5278,69127,,2987,6482.906,2.170373619015735,1.1538494418323848,8.777078385526545,39.99034105491456,50.02194184088468
5279,69131,,1276,6753.037,5.292348746081505,1.8393344105642615,8.817895679165627,64.8126364713583,50.270597475247904
5280,69133,,2497,9873.976999999999,3.9543360032038444,1.6002631533945222,9.197759260652687,56.15555769977545,52.58469553038487
5281,69136,,546,1026.782,1.8805531135531135,1.0579823290250305,6.935158361269921,36.51886917241954,38.80111480302004
5282,69140,,419,1803.045,4.303210023866349,1.6683123020975708,7.497786644879086,58.61970519971177,42.22860056453512
5283,69141,,3888,11663.301,2.9998202160493825,1.386249414122135,9.364288259813964,48.40584399091827,53.599176654304216
5284,69142,,17432,43733.581,2.5088102914180817,1.2552770317078743,10.685894395380487,43.66316498849386,61.650293784298846
5285,69143,,11549,26554.24,2.2992674690449393,1.1937004647541414,10.186982370661639,41.433398027325325,58.61096229174916
5286,69145,,161,1050.829,6.526888198757764,2.018481702581881,6.958285832556856,71.29979112588526,38.94200547781393
5287,69148,,779,3262.1369999999997,4.187595635430038,1.6462703211324299,8.09044428161448,57.82153662120518,45.839022703879294
